Длина волны;1 к 1;1 к 2;1 к 3;1 к 4;1 к 5;латекс;канифоль
530;0.12141;0.08517;0.06612;0.05658;0.05074;0.66701;0.40668
531;0.12085;0.08473;0.0658;0.05626;0.05042;0.66315;0.40475
532;0.12022;0.08432;0.06546;0.05588;0.05013;0.65927;0.40289
533;0.11957;0.08389;0.06503;0.0556;0.0498;0.65546;0.40099
534;0.11897;0.08339;0.06462;0.05527;0.04948;0.65164;0.39906
535;0.11836;0.08296;0.0643;0.05496;0.04918;0.64795;0.3972
536;0.11772;0.08238;0.06386;0.05453;0.04878;0.644;0.39519
537;0.1172;0.08203;0.06352;0.05424;0.04852;0.64008;0.3932
538;0.11662;0.08163;0.06317;0.05392;0.04826;0.63634;0.39142
539;0.11604;0.08119;0.06285;0.05359;0.04797;0.63277;0.3896
540;0.11555;0.0808;0.06248;0.05327;0.04768;0.62929;0.3878
541;0.11496;0.0804;0.06219;0.05298;0.04745;0.62567;0.38603
542;0.11447;0.07999;0.06184;0.0527;0.04718;0.62212;0.38426
543;0.114;0.07956;0.06149;0.05241;0.04691;0.6187;0.38251
544;0.11346;0.07927;0.06128;0.05222;0.04668;0.61528;0.38084
545;0.1129;0.07877;0.06093;0.05191;0.04643;0.61182;0.37903
546;0.11237;0.07841;0.06056;0.05161;0.04619;0.60844;0.37732
547;0.11182;0.07809;0.0603;0.05139;0.04594;0.60513;0.37572
548;0.11127;0.07765;0.05995;0.05104;0.04562;0.6017;0.37395
549;0.11087;0.07727;0.05968;0.05078;0.04543;0.5984;0.37227
550;0.11031;0.07686;0.05928;0.0504;0.04509;0.59502;0.3705
551;0.10982;0.07651;0.05902;0.05016;0.04488;0.59166;0.36885
552;0.10927;0.07613;0.05873;0.04991;0.04465;0.58839;0.3672
553;0.10876;0.07574;0.05841;0.04964;0.04439;0.58501;0.36548
554;0.10822;0.07539;0.05814;0.04941;0.04416;0.5817;0.36386
555;0.10779;0.07507;0.05779;0.04916;0.0439;0.5782;0.36208
556;0.10728;0.07471;0.05751;0.04892;0.04369;0.575;0.36043
557;0.10683;0.07434;0.05725;0.04866;0.04349;0.57181;0.35884
558;0.10634;0.07404;0.05695;0.04843;0.04327;0.56856;0.35721
559;0.1059;0.07372;0.05667;0.04819;0.04306;0.56546;0.35562
560;0.10535;0.07326;0.05635;0.04788;0.04279;0.56207;0.35393
561;0.10487;0.07298;0.05609;0.04764;0.04257;0.55898;0.35233
562;0.10443;0.07265;0.05586;0.04741;0.04236;0.55592;0.3508
563;0.104;0.07231;0.05554;0.0472;0.04218;0.55286;0.34929
564;0.10352;0.07198;0.05528;0.04692;0.04193;0.54976;0.34778
565;0.10303;0.07162;0.05498;0.04663;0.04167;0.54675;0.34615
566;0.10254;0.07129;0.05472;0.04642;0.04146;0.54381;0.34462
567;0.10211;0.07101;0.05447;0.04622;0.04129;0.54076;0.34311
568;0.10175;0.07071;0.05426;0.04599;0.04111;0.53787;0.34169
569;0.10132;0.07042;0.05403;0.04582;0.04089;0.53497;0.34021
570;0.10091;0.07005;0.05373;0.04555;0.04065;0.532;0.33868
571;0.10042;0.0697;0.05342;0.0453;0.04044;0.52904;0.33717
572;0.09993;0.06938;0.05313;0.04506;0.04022;0.52623;0.33568
573;0.09959;0.06914;0.05293;0.04485;0.04004;0.52332;0.3342
574;0.09917;0.06888;0.05269;0.0446;0.03983;0.52042;0.33275
575;0.09869;0.06847;0.0524;0.04437;0.03958;0.51753;0.33125
576;0.09822;0.06807;0.05208;0.04407;0.03935;0.5146;0.32973
577;0.09787;0.06776;0.05183;0.0439;0.0392;0.51183;0.32831
578;0.0974;0.06749;0.05167;0.04373;0.03902;0.50914;0.32692
579;0.09697;0.06729;0.05144;0.04359;0.03888;0.50641;0.32562
580;0.09659;0.067;0.05119;0.0433;0.03868;0.50365;0.32419
581;0.09624;0.06671;0.05098;0.04306;0.03847;0.50093;0.32277
582;0.09583;0.06642;0.0507;0.04292;0.03828;0.49817;0.3214
583;0.09549;0.06613;0.05048;0.04274;0.03812;0.49547;0.32001
584;0.09508;0.0658;0.05016;0.04243;0.03787;0.49275;0.31859
585;0.0947;0.06551;0.04997;0.0423;0.03773;0.49019;0.31721
586;0.09428;0.06522;0.04974;0.04207;0.03755;0.48749;0.31581
587;0.09387;0.06499;0.04953;0.04189;0.03737;0.48492;0.31454
588;0.09349;0.06471;0.04935;0.04169;0.03716;0.48233;0.31319
589;0.09314;0.06441;0.04912;0.04144;0.03694;0.47969;0.31184
590;0.09273;0.06409;0.04887;0.04118;0.03673;0.47704;0.31049
591;0.09232;0.06383;0.04863;0.04108;0.03662;0.47458;0.30922
592;0.09195;0.06357;0.04837;0.04085;0.03638;0.47195;0.30783
593;0.09164;0.06334;0.04822;0.0407;0.0363;0.4695;0.30663
594;0.09125;0.06306;0.04799;0.04054;0.03613;0.46706;0.30531
595;0.09093;0.06285;0.04782;0.04036;0.03601;0.46465;0.30408
596;0.09058;0.06256;0.04758;0.04016;0.03578;0.46216;0.30276
597;0.09021;0.06226;0.04735;0.03995;0.03561;0.45967;0.3015
598;0.08986;0.06198;0.04707;0.0397;0.03537;0.45717;0.3002
599;0.08949;0.06175;0.04689;0.03957;0.0352;0.45474;0.29892
600;0.08908;0.06146;0.04665;0.03934;0.03506;0.45227;0.29758
601;0.08879;0.0612;0.04646;0.03917;0.03494;0.4498;0.29636
602;0.08846;0.061;0.0463;0.03902;0.03477;0.44743;0.29512
603;0.08809;0.06079;0.0461;0.0388;0.03464;0.44499;0.29378
604;0.08771;0.06049;0.04585;0.0386;0.03442;0.44258;0.2925
605;0.0874;0.06021;0.04565;0.03847;0.0343;0.44023;0.29137
606;0.0871;0.05994;0.04549;0.0383;0.03413;0.43785;0.29016
607;0.08669;0.05977;0.04529;0.03818;0.03401;0.43556;0.289
608;0.08636;0.05957;0.04517;0.03802;0.03386;0.43326;0.28781
609;0.086;0.05927;0.04494;0.03777;0.03365;0.43083;0.2865
610;0.08566;0.05902;0.04474;0.03755;0.03349;0.42865;0.28528
611;0.08545;0.05878;0.04456;0.03737;0.03329;0.42647;0.28409
612;0.08508;0.05852;0.0443;0.03719;0.03314;0.42421;0.2829
613;0.08478;0.05826;0.04404;0.03702;0.03299;0.42191;0.28171
614;0.08443;0.05806;0.04393;0.03691;0.03284;0.41965;0.28058
615;0.08406;0.05783;0.04372;0.03673;0.03264;0.41743;0.27946
616;0.08377;0.05763;0.04355;0.03658;0.03255;0.41524;0.27834
617;0.08351;0.05745;0.04343;0.03644;0.03246;0.41313;0.27724
618;0.08325;0.05725;0.04321;0.03632;0.03238;0.41107;0.27614
619;0.0829;0.05699;0.04309;0.03613;0.03224;0.40898;0.27498
620;0.08257;0.05681;0.04291;0.03595;0.03207;0.40689;0.27385
621;0.08235;0.05664;0.04276;0.03587;0.03197;0.4048;0.27281
622;0.08199;0.05635;0.04256;0.03568;0.03177;0.40259;0.27168
623;0.08163;0.05612;0.04233;0.03546;0.0316;0.40051;0.27061
624;0.08133;0.05589;0.04214;0.03528;0.03146;0.39842;0.26952
625;0.0811;0.05569;0.04202;0.03516;0.03136;0.39639;0.26839
626;0.08084;0.0555;0.04182;0.03503;0.03123;0.39439;0.26729
627;0.08058;0.05534;0.0417;0.03497;0.03113;0.39238;0.26625
628;0.08029;0.05516;0.04158;0.03481;0.03101;0.39041;0.26521
629;0.07999;0.05495;0.04141;0.03468;0.0309;0.38844;0.26416
630;0.07967;0.0547;0.04118;0.0345;0.03067;0.38638;0.26305
631;0.07938;0.05446;0.041;0.0343;0.03056;0.38437;0.26199
632;0.0791;0.05426;0.04085;0.03419;0.03046;0.38243;0.26094
633;0.07886;0.05408;0.04073;0.03407;0.03033;0.38051;0.25992
634;0.07861;0.05388;0.04056;0.03391;0.03024;0.37859;0.25891
635;0.07832;0.05363;0.04041;0.03378;0.03012;0.37668;0.25786
636;0.07794;0.05339;0.04013;0.03355;0.02991;0.37471;0.25676
637;0.07756;0.05315;0.03992;0.03333;0.02969;0.37268;0.25563
638;0.07719;0.05293;0.03973;0.03317;0.02951;0.37085;0.25462
639;0.07681;0.05272;0.03951;0.03299;0.02936;0.36894;0.2536
640;0.07657;0.05258;0.03938;0.0329;0.02924;0.36711;0.25261
641;0.07625;0.05241;0.03926;0.03278;0.02914;0.36534;0.25166
642;0.07596;0.05222;0.03905;0.03262;0.02902;0.3636;0.25066
643;0.07556;0.05197;0.03882;0.03241;0.02884;0.36174;0.24962
644;0.07538;0.0519;0.03871;0.03236;0.02879;0.36005;0.24873
645;0.07516;0.05177;0.03865;0.03227;0.02876;0.35829;0.2478
646;0.07495;0.05167;0.03851;0.0322;0.0287;0.3566;0.24687
647;0.0748;0.05153;0.03841;0.03214;0.02861;0.35483;0.24602
648;0.07462;0.05144;0.03835;0.03207;0.02856;0.3531;0.24515
649;0.07445;0.05133;0.0383;0.03198;0.02849;0.35146;0.24422
650;0.07426;0.05112;0.0381;0.03185;0.0284;0.34962;0.24323
651;0.07401;0.0509;0.03796;0.03171;0.02824;0.34784;0.24226
652;0.07376;0.05074;0.03786;0.03162;0.02815;0.34615;0.24135
653;0.07349;0.05058;0.0377;0.03148;0.02803;0.34439;0.24037
654;0.07326;0.05037;0.0376;0.03139;0.02797;0.34261;0.23946
655;0.07301;0.05014;0.03746;0.03122;0.02783;0.34087;0.23857
656;0.0728;0.04999;0.03728;0.03105;0.02769;0.33911;0.23759
657;0.07259;0.0498;0.03716;0.03096;0.02757;0.3374;0.23665
658;0.07243;0.04962;0.03703;0.03087;0.0275;0.3358;0.23578
659;0.07214;0.04938;0.03683;0.03067;0.02734;0.33411;0.2348
660;0.07188;0.04921;0.0367;0.03056;0.02722;0.3324;0.23392
661;0.07167;0.04906;0.03661;0.03046;0.02715;0.3308;0.23311
662;0.07146;0.04887;0.03642;0.03032;0.02701;0.32912;0.23212
663;0.07126;0.04874;0.03636;0.03021;0.02695;0.32751;0.23131
664;0.07092;0.04851;0.03615;0.03003;0.02675;0.32585;0.23032
665;0.07074;0.04834;0.03603;0.02992;0.02667;0.32428;0.22946
666;0.07062;0.04828;0.036;0.02989;0.02666;0.32278;0.2287
667;0.07034;0.0481;0.03587;0.02979;0.02654;0.32126;0.22781
668;0.07008;0.0479;0.03571;0.02965;0.0264;0.31966;0.2269
669;0.06981;0.04771;0.03558;0.0295;0.02628;0.31813;0.22604
670;0.0696;0.04756;0.03546;0.02943;0.02625;0.31654;0.22522
671;0.06941;0.04741;0.03537;0.02931;0.02614;0.31494;0.22437
672;0.06915;0.04716;0.03514;0.02913;0.02596;0.31331;0.22345
673;0.06895;0.04707;0.03505;0.02908;0.02583;0.31181;0.22263
